source,review_description,sentiment,processed_text
App Store,"To be fair tho what

Vik??

Did I? 
I thought that was Harry who said that
No vik you literally said to be fair tho
Oh oh I was agreeing with Harry",Positive,fair tho vik thought harry said vik literally said fair tho oh oh agree harry
Google Play,"I understand it's connected to Instagram, but being a text based app, shouldn't it have messaging features as well?",Neutral,understand connect instagram text bas app shouldnt messag feature well
Google Play,I want to delete this stupid app without deleting my insta. Fix it.,Negative,want delete stupid app without delet insta fix
Google Play,Cool👍🏻,Positive,cool
Google Play,Another Instagram worst,Negative,another instagram worst
Google Play,The app is good its almost like twitter Just implement the trending 📈 feature and add aome new other features that twitter lack,Positive,app good almost like twitter implement trend feature add aome new feature twitter lack
App Store,Like this games. Threads.,Positive,like game thread
Google Play,Instagram account holder only login thread why,Negative,instagram account holder login thread
Google Play,can't upload photos,Neutral,cant upload photo
Google Play,Nice app threads Twitter to gya,Positive,nice app thread twitter gya
Google Play,It's a good platform but you want to also add a hashtag features on it,Neutral,good platform want also add hashtag feature
Google Play,"Power move, Zuch!",Positive,power move zuch
Google Play,Better app than twitter,Positive,better app twitter
Google Play,"I dont know how to feel, so its like a tamed version of twitter with the people you follow on insta? I dont get it",Negative,dont know feel like tam version twitter people follow insta dont get
App Store,"There is a world in which this app could elevate to simply being mediocre. However, in our world, any potential good functionality has been sacrificed in the name of the almighty algorithm and the glazed-eye dream of corporate profits. Most social media apps tried to entice you with an initially good experience. This app boldly gives you a terrible experience up front. Let’s instead hang out on Mastodon.",Negative,world app could elevate simply mediocre however world potential good functionality sacrific name almighty algorithm glazedeye dream corporate profit social media app tri entice initially good experience app boldly give terrible experience front let instead hang mastodon
Google Play,"You can't compete against Twitter if you sensor and have horrible data access policies... Who are these ""independent fact checkers"" that pop up on my posts?",Negative,cant compete twitter sensor horrible data access policie independent fact checker pop post
Google Play,I don't want to use both Twitter and Instagram in same app it sucks..🤣😆,Negative,dont want use twitter instagram app suck
Google Play,After installation texts are overlapping on each other,Negative,installation text overlapp
Google Play,"I realize the app is in its infancy, but this thing is really inconvenient. I can only use the app from my phone to post. I can't use it on my laptop at all, not even taking something from my Instagram page and crossposting. Please fix this. Allow us to post from devices other than just phones. I have failing eyesight and this becomes a real problem for me because my phone screen (and anything I write using it) is so small.",Negative,realize app infancy th really inconvenient use app phone post cant use laptop even tak someth instagram page crosspost please fix allow u post device phone fail eyesight become real problem phone screen anyth write us small
Google Play,I dunno what happened but can you bring back my account?? like fr my threads suddenly got disabled and now even my Instagram account was disabled.. seriously I shouldn't have downloaded this app if I know what's gonna happen,Negative,dunno happen br back account like fr thread suddenly got disabl even instagram account disabl seriously shouldnt download app know what gonna happen
Google Play,"I don't use Instagram, I quit it but I wanna try threads and it's not allowing without insta account.",Negative,dont use instagram quit wanna try thread allow without insta account
Google Play,A good application,Positive,good application
Google Play,"The worst app ever, no feature, just random people out of nowhere, unstable and laggy.",Negative,worst app ever feature random people nowhere unstable laggy
App Store,"I like being able to have this option - I'm not necessarily opposed to it. But PLEASE... for the love of everything that is good in this world - bring back old Instagram!!! I know SO MANY people who would get back on Instagram if y'all focused on POSTS again & made a SEPARATE app for reels. If you can make a separate app for these functions, please also make a separate app for the other new features you had added. This would truly be mutually beneficial.",Negative,like able option im necessarily oppos please love everyth good world br back old instagram know many people would get back instagram yall focus post made separate app reel make separate app function please also make separate app new feature add would truly mutually beneficial
Google Play,"its good , with nice ui , but i wish there was an option where you could get rid of the timeline full of influencers and celebs when you refresh. its so annoying seeing posts from people i dont know and dont follow, probably the only thing stopping me from moving over to threads entirely , i hate it",Neutral,good nice ui wish option could get rid timeline full influencer celeb refresh annoy see post people dont know dont follow probably th stopp mov thread entirely hate
Google Play,BRO..THIS APP CRASHES A LOTT..I MEAN..AS SOON AS I OPEN THE APP..IDK WHAT HAPPENES..EBERY BUTTON OR TEXT OR IMAHE START OVERLAPPING EACH OTHER OR SOMETHING..IDK BUT THIS JS HAPPENING WITH MOST OF US..FIXX IT AS SOON AS POSSIBLE..WE CAN'T DO A SINGLE TASK WITH THIS GLITCH..I WANNA CHECK THE APP AND ITS FEATURES..BUT THIS SRUPID GLITCH IN FRONT APPERS AND DOESN'T END,Negative,brothi app crashe lotti meana soon open appidk happenesebery button text imahe start overlapp somethingidk j happen usfixx soon possiblewe cant single task glitchi wanna check app featuresbut srupid glitch front apper doesnt end
Google Play,"For first experience, the app is good. Maybe later could you please add inbox/DM feature, and section for media (pics n vids) in profile section together with thread and reply. Please add section for media so we wont need to scroll so much for pics we upload. Thanks",Positive,first experience app good maybe later could please add inboxdm feature section media pic n vid profile section together thread reply please add section media wont ne scroll much pic upload thank
Google Play,Nthing special,Neutral,nth special
Google Play,Why on God's green earth you need my medical info access? I can't believe it!,Negative,god green earth ne medical info access cant believe
Google Play,Good copy of Twitter but not better than Twitter 😅,Neutral,good copy twitter better twitter
Google Play,Trash,Negative,trash
Google Play,"Yes, it's a new app. But Meta is not exactly an indie developer! There is literally no reason to be flooding us with Rando Accounts. That should have been basic functionality from Day 1. But like Instagram, seems Threads just wants to push random posts on us whether we like it or not. Until basic functions are in, I'll be sticking with Twitter.",Negative,ye new app meta exactly indie developer literally reason flood u rando account basic functionality day like instagram seem thread want push random post u whether like basic function ill stick twitter
Google Play,Useless pale copy of Twitter without soul and no fun and tremendous use of data. Pointless.,Negative,useless pale copy twitter without soul fun tremendou use data pointless
Google Play,Needs chronological timeline of follows,Negative,need chronological timeline follow
Google Play,Bad experience at all,Negative,bad experience
App Store,"App that was definitely just dropped because people were fussing about twitter again and don’t get me wrong because I’d love to see new competition so twitter will step up and stop making dumb decisions, but as of now, why would I have any reason to use threads? Profiles are boring and messy, no customization besides changing your icon and putting a link, no pinned posts or some sort of media tab, no way to browse people you ACTUALLY follow, and what was the point of flexing no ads if the following feed is brand after brand after brand anyways?   There’s also no dms. 
Uninstalled after muting over a hundreds accounts, random celebrities and tiktok stars and brands I’ve never even heard of just keep appearing. Not worth your time, just keep using instagram because really, what’s the point of this app with how empty it is? Maybe in the future they will add dms and options to pin posts or have a media tab, but I legitimately can’t believe people were hyping up what’s half of a finished app",Negative,app definitely dropp people fuss twitter dont get wrong id love see new competition twitter step stop mak dumb decision would reason use thread profile bor messy customization beside chang icon putt link pinn post sort media tab way browse people actually follow point flex ad follow fe brand brand brand anyway there also dm uninstall mut hundred account random celebritie tiktok star brand ive never even heard keep appear worth time keep us instagram really what point app empty maybe future add dm option pin post media tab legitimately cant believe people hyp what half finish app
Google Play,It's is good,Positive,good
Google Play,"Competion is good, an alternative to Twitter was long due.",Positive,competion good alternative twitter long due
Google Play,"Too much data collection and can't trust meta with my data, history has proven that meta is selling data or it get leaked very easy",Negative,much data collection cant trust meta data history proven meta sell data get leak easy
Google Play,"can I see the photos and videos designed alone, can we go live video, please",Neutral,see photo video design alone go live video please
Google Play,"Pretty good app apparently it's like classic Twitter. It could use a few tweaks and adjustments especially the ability to edit your thread and better audio support for videos as well as gif insertion, also a timeline just for the people you follow would be great too, but otherwise it's solid.",Neutral,pretty good app apparently like classic twitter could use tweak adjustment especially ability edit thread better audio support video well gif insertion also timeline people follow would great otherwise solid
Google Play,"I try to upload a picture or video, then the app crashes... Hopefully it gets fixed. Good app anyways, great alternative to Twitter for real.",Neutral,try upload picture video app crashe hopefully get fix good app anyway great alternative twitter real
Google Play,"Hey ,please don't make same color and options like Instagram make it different and use some color with the opening logo. I like the sign up option with Instagram but again I tell you please don't mix insta and thread together",Neutral,hey please dont make color option like instagram make different use color open logo like sign option instagram tell please dont mix insta thread together
Google Play,Copy,Negative,copy
Google Play,Terrible and boring app!!!,Negative,terrible bor app
Google Play,Nice as comptiter of Twitter,Positive,nice comptiter twitter
Google Play,need more features,Positive,ne feature
Google Play,Good app,Positive,good app
Google Play,Very very buggy! If I try to scroll all the info on screen drags and overlays on top of each other. It's unusable,Negative,buggy try scroll info screen drag overlay top unusable
Google Play,How upload profile picture 📸,Negative,upload profile picture
Google Play,TWITTER S BEST HAI 😅,Positive,twitter best hai
Google Play,Very Good app 👍🏻,Positive,good app
Google Play,"This disgustingly look exactly like Twitter, create your own thing. It's stealing 🚫",Negative,disgustingly look exactly like twitter create th steal
Google Play,Just a cheap knockoff of twitter no special features nothing different to stand out,Negative,cheap knockoff twitter special feature noth different stand
App Store,"as the tittle says, pretty decent & has potential! but personally, as i’m sure others would agree too (i also know you’re still developing/tweaking) but i would love my home feed/timeline to consist of ONLY the people i follow. i’d like a separate explore tab with all the random ppl (the home page you currently have) would be nice! i would love to pick & choose when i get to see random people i don’t follow because my home page just feels like spam/junk mail with zero access to content i actually care about.  also, would love to see a, who i’m following tab as well. thanks!",Neutral,tittle say pretty decent potential personally im sure other would agree also know youre still developingtweak would love home feedtimeline consist people follow id like separate explore tab random ppl home page currently would nice would love pick choose get see random people dont follow home page feel like spamjunk mail zero access content actually care also would love see im follow tab well thank
Google Play,2rd copy of Twitter Zuck keyboard = copy & paste 😤😤😤,Negative,rd copy twitter zuck keyboard copy paste
Google Play,"Please be my pin, because I'm the thread that you need 😜😮‍💨",Positive,please pin im thread ne
Google Play,"If you will login once in threads, you can't delete your threads profile ever. If you want to delete your threads profile, your Instagram profile will also delete. You can only deactivate the threads account. So think before download.",Negative,login thread cant delete thread profile ever want delete thread profile instagram profile also delete deactivate thread account think download
Google Play,Good app!,Neutral,good app
App Store,"it’s basically a way to connect with people who are interested in what you are interested in aswell, nice app zuckerberg 📝",Positive,basically way connect people interest interest aswell nice app zuckerberg
App Store,"I can't log in into this application and i don't know why! 
I'll be thankful that someone helps me :)
I've tried many times but i just recived erros but nothing..",Negative,cant log application dont know ill thankful someone help ive tri many time reciv erro noth
Google Play,Because My video viws not coming,Negative,video viw com
Google Play,"Fixed the comment pane, tks 👍👍👍",Positive,fix comment pane tk
Google Play,Good aap. It's good to see that they are providing a threads version.,Neutral,good aap good see provid thread version
Google Play,Nice job with you guys and gold for you guys,Positive,nice job guy gold guy
Google Play,The rest of the age will come to know experiment when it is necessary to be more and different even if all looked same yes (feature) could have been introduced in some new form. But he was not kept equal to his rival. It is expected that more good things will be seen in the future.,Neutral,rest age come know experiment necessary different even look ye feature could introduc new form kept equal rival expect good thing seen future
Google Play,If insta and Twitter had a child,Positive,insta twitter child
Google Play,As is it's impossible to use. I do not have an Instagram account. I cannot use the app without creating an Instagram account. You cannot create an Instagram account from within the app. Ergo the app is impossible to use without already having an Instagram account or going to Instagram to create an account outside of the app. 0/10,Negative,impossible use instagram account cannot use app without creat instagram account cannot create instagram account within app ergo app impossible use without already instagram account go instagram create account outside app
Google Play,Very nice this app💜,Positive,nice app
Google Play,Why its connected with Instagram.. i installed it and open account from insta. Now this thread badge is shown up in insta's bio. I Removed it many times from there..but its again shown on page refresh. Please do this app independently from insta...or i uninstall both the app..🙂,Negative,connect instagram install open account insta thread badge shown insta bio remov many time therebut shown page refresh please app independently instaor uninstall app
Google Play,Nice this twit app,Positive,nice twit app
Google Play,Theif,Negative,theif
Google Play,Wow 😮 very good,Positive,wow good
Google Play,Nice app..... Add DMs to it and allow me to pin a post ☺️,Positive,nice app add dm allow pin post
Google Play,Musk ko compitition 👍👍✌️,Positive,musk ko compitition
Google Play,It's fun ...but need translate tweet option as soon as possible,Positive,fun ne translate tweet option soon possible
Google Play,Good Application,Positive,good application
Google Play,Exceptional extraordinary meta experience index over the hurtle and brightening my life.,Positive,exceptional extraordinary meta experience index hurtle brighten life
Google Play,"constantly bugs out, unusable for now",Negative,constantly bug unusable
Google Play,She blocked on redmi note 8,Negative,block redmi note
Google Play,Aap is so interesting. But it is not good,Negative,aap interest good
Google Play,"It's nice App, but you need to bring direct message feature please.",Positive,nice app ne br direct message feature please
Google Play,Breath of fresh Air! I never knew just HOW toxic the other app had gotten until I switched to Threads. It's only been a week and everyday it gets better and better.,Positive,breath fresh air never knew toxic app gotten switch thread week everyday get better better
Google Play,"Why am I facing glitching issues every time I open the app, i tried uninstalling the app and then reinstalling,then also it didn't work, all i could see was an entire screen full of glitches",Negative,fac glitch issue every time open app tri uninstall app reinstallingthen also didnt work could see entire screen full glitche
Google Play,Not bad initiative.,Neutral,bad initiative
Google Play,"The application keeps glitching since i open it, once i touch the screen it glitchs, can't use it at all",Negative,application keep glitch since open touch screen glitch cant use
Google Play,Great application,Positive,great application
Google Play,I think it's good to compete with Twitter. They are creating monopoly.,Positive,think good compete twitter creat monopoly
Google Play,The app crashes often hope you fix it soon,Neutral,app crashe often hope fix soon
App Store,Much to be desired as of now.,Neutral,much desir
App Store,Watch Sound of Freedom! A true story movie about human/child trafficking in certain theaters now or soon to be on Twitter thanks to Elon. The movie was made 5 years ago and they’ve tried to put it on all streaming platforms and got denied by all of them. Multiple roadblocks in their way but the truth always comes out. Gods children are not for sale.,Negative,watch sound freedom true story movie humanchild traffick certain theater soon twitter thank elon movie made year ago theyve tri put stream platform got deni multiple roadblock way truth alway come god children sale
Google Play,Wish I didn't have to have an Instagram account to use this. It is what it is I guess...,Negative,wish didnt instagram account use guess
App Store,"App is terrible. A rip off of Twitter and Zuck just wants to be Elon so bad. These clowns in these reviews saying Twitter is dead are just full of it and just be bots. Enjoy your one sided views on everything, with no opinions from the other side to promote discussion and critical thinking. Uninstalling immediately.",Negative,app terrible rip twitter zuck want elon bad clown review say twitter dead full bot enjoy one sid view everyth opinion side promote discussion critical think uninstall immediately
Google Play,The only reason I'm giving it a three star is because when you follow people they don't show up on your feed it's a bunch of random users other than that the app itself is pretty cool,Neutral,reason im giv three star follow people dont show fe bunch random user app pretty cool
Google Play,I cannot download this app as the button which is for the word download does not appear .,Positive,cannot download app button word download appear
App Store,"No chronological feed, no control over what posts you see in your feed. Following people is basically useless. Don’t download this or you will have to delete your Instagram to delete threads.",Negative,chronological fe control post see fe follow people basically useless dont download delete instagram delete thread
Google Play,It can be something good in the future.,Neutral,someth good future
App Store,"So I had enough time to use this app and it’s going places 

All I wish for is:
The ability to have multiple accounts like instagram 
More settings 
Stories should be on threads also 
Direct messaging (end to end encrypted)
And others but overall it’s a very great app",Positive,enough time use app go place wish ability multiple account like instagram setting storie thread also direct messag end end encrypt other overall great app
Google Play,hello spyware,Negative,hello spyware
App Store,"Everybody has commented about the features and functionality that are still needed. I assume those will come with time.

I am a little concerned that the app seems to access every bit of private data possible.  The app has private settings, but they are convoluted and not so easy to work through.

The app is also draining my battery like no other app. If I can't figure out a fix for this, I'm not sure I can leave the app installed.",Neutral,everybody comment feature functionality still need assume come time little concern app seem access every bit private data possible app private setting convolut easy work app also drain battery like app cant figure fix im sure leave app install
Google Play,Isse ek baar I'd banane pe isse delete account krne pe aapka insta account bhi delete ho jayega It's so very bad 😞 app 🤣🤣,Negative,isse ek baar id banane pe isse delete account krne pe aapka insta account bhi delete ho jayega bad app
Google Play,It's an amazing app.. just loving it !!,Positive,amaz app lov
Google Play,Nice experience better than Twitter great job mark zuck,Positive,nice experience better twitter great job mark zuck
Google Play,Freezing up and not working properly,Negative,freez work properly
App Store,"I see the potential, but it keeps logging me out every time I want to comment or post. A bug needing fix.",Negative,see potential keep logg every time want comment post bug need fix
Google Play,Very good app,Positive,good app
App Store,"i think you should make it easier to switch accounts instead of having to log out and then log into another account, make it something similar to insta. i also think you should make it where you can double tap to like a post",Positive,think make easier switch account instead log log another account make someth similar insta also think make double tap like post
Google Play,Cool,Positive,cool
Google Play,It actually have a lot of bugs! Thread team should fix the bug first before it launched!,Negative,actually lot bug thread team fix bug first launch
Google Play,I posted so many post.😔 but didn't even get a like.😔 And not reached also.😔,Negative,post many post didnt even get like reach also
Google Play,"Content feed is full of people I neither know, nor have ever heard of. Scrolling forever to see anyone I follow. Just going to keep using Mastodon.",Negative,content fe full people neither know ever heard scroll forever see anyone follow go keep us mastodon
Google Play,No translate function just like in ig or twitter that is very inconvenient. Hope can add this function very soon.,Neutral,translate function like ig twitter inconvenient hope add function soon
App Store,"Hi Meta, I really like how simple and intuitive the UI is for this app. Though, I think this app desperately needs a “trending page” where you can see any big events or news at a glance like how you can on twitter. This would definitely help drive more people away from twitter and onto your platform.",Positive,hi meta really like simple intuitive ui app though think app desperately need trend page see big event new glance like twitter would definitely help drive people away twitter onto platform
Google Play,"Overall experience is good but I have facing issues while uploading the photos ,that was very disappointed",Neutral,overall experience good fac issue upload photo disappoint
Google Play,warning this app WILL suspend your instagram account if you decide to follow all the accounts you follow already on Instagram. There is ZERO appeal process.,Negative,warn app suspend instagram account decide follow account follow already instagram zero appeal process
Google Play,Can't get onto instagram so no chance of getting onto threads!!!!!,Negative,cant get onto instagram chance gett onto thread
Google Play,It's not good as Facebook,Negative,good facebook
Google Play,"Nepotism, 😏",Positive,nepotism
Google Play,Nice app but need to include features like :- 1. Poll option 2. Image cropping before posting 3. Data saver mode like Video Autoplay off 4. Media section seperately on Profile page.,Neutral,nice app ne include feature like poll option image cropp post data saver mode like video autoplay media section seperately profile page
Google Play,"The application works fine without problems, but there is a very noticeable minus there is no transfer in Threads, and you need to make two buttons, the first recommendation, the second on which you are subscribed, this is my personal opinion, otherwise 4 stars, I hope the developers will notice this, and by the way, me too programmer",Positive,application work fine without problem noticeable minu transfer thread ne make two button first recommendation second subscrib personal opinion otherwise star hope developer notice way programmer
Google Play,Very nice app 🤠👍👍,Positive,nice app
Google Play,Loving it,Positive,lov
Google Play,It's better than Twitter,Positive,better twitter
Google Play,UI looks clean but Please provide save picture or video option. Also Home feed looks odd. It should show the posts from who we follow or show related to who we follow or based on our location,Neutral,ui look clean please provide save picture video option also home fe look odd show post follow show relat follow bas location
Google Play,Nice app tho,Positive,nice app tho
Google Play,Unable to download app,Negative,unable download app
Google Play,The thing is i was really excited to try threads but when I downloaded it on my Samsung tablet it had grafical error it was just broken I am redownloading it to see if the issue is still there if is I will edit this,Neutral,th really excit try thread download samsung tablet grafical error broken redownload see issue still edit
Google Play,Excellent app for communication interface. Truly I'm addicted for this app. Instead of twitter I'll use this. Thank me META for providing such useful application.,Positive,excellent app communication interface truly im addict app instead twitter ill use thank meta provid useful application
Google Play,"Not too different from insta, I'd stick to insta then. And it's not even that interesting",Negative,different insta id stick insta even interest
Google Play,It is a good app and overall good concept but I guess it is better if u add chat option and stories with the new updates. This is just the beginning. I hope we will see good later,Positive,good app overall good concept guess better u add chat option storie new update beginn hope see good later
App Store,"This is a good app! I like it so far, I just wish I could have a “following” page and a “for you” page that are separate. I want to see what just my friends are saying or just new people, not a mix of both. Otherwise, great!",Positive,good app like far wish could follow page page separate want see friend say new people mix otherwise great
Google Play,"The app is good because I can share what's on my mind, but the problem is there's no followback button. You need to visit the profile first so you can follow it back",Positive,app good share what mind problem there followback button ne visit profile first follow back
Google Play,Lol what the hell is this zuck needs more data buzz of meta Twitter is best,Negative,lol hell zuck need data buzz meta twitter best
Google Play,"Good Twitter alternative, but at the moment the app crashes whenever I post HD images",Neutral,good twitter alternative moment app crashe whenever post hd image
Google Play,Server too slow pls improve,Neutral,server slow pl improve
Google Play,This app is not stable,Negative,app stable
Google Play,"So is this app available in the EU or not? Because I was able to download it and follow a bunch of pages just fine, but now it's just ""something went wrong"" all the time. What's up?",Negative,app available eu able download follow bunch page fine someth went wrong time what
Google Play,"This app is good to use, however I can't post photos.",Neutral,app good use however cant post photo
Google Play,Copy paste of Twitter🙄,Neutral,copy paste twitter
Google Play,"There is no reason provided for updates, so I provide no reason for more than 1 star.",Negative,reason provid update provide reason star
App Store,"You have to link your Instagram account, no other option. And if you want to delete Threads, you have yo delete your Instagram account. I never link accounts, ever. I won’t be signing up until you can create independent accounts.",Negative,link instagram account option want delete thread yo delete instagram account never link account ever wont sign create independent account
Google Play,"This app really needs improvement. Because after opening threads, my instagram account cannot be opened. It always sunddenly closes.",Negative,app really need improvement open thread instagram account cannot open alway sunddenly close
Google Play,Copy,Negative,copy
Google Play,"If I don't have / want an Instagram account so I can't login, that's not acceptable. I am uninstalling the app.",Negative,dont want instagram account cant login that acceptable uninstall app
App Store,"It’s a good app however it needs a lot of work and features that all other social networks have.

1. Chronological home feed so you can view thing in order.

2. For you feed so you ca see only the Threads from people you follow also in chronological order.

3. The ability to view the list of people you follow and ability to unfollow from the list.

4. The ability to view things you liked and favorited as a feed in your profile page.

These are major things that all other social networks have and Threads doesn’t have and for a lot of people that’s a deal breaker. I hope to see these features sooner rather then later because people WILL stop using this app and go back the the app Elon is currently hellbent on killing because there will be no better place.",Neutral,good app however need lot work feature social network chronological home fe view th order fe ca see thread people follow also chronological order ability view list people follow ability unfollow list ability view thing lik favorit fe profile page major thing social network thread doesnt lot people that deal breaker hope see feature sooner rather later people stop us app go back app elon currently hellbent kill better place
Google Play,Save yourself the uninstall and just don't download it.,Negative,save uninstall dont download
Google Play,"There is a bug in the app , please improve it instagram team",Neutral,bug app please improve instagram team
Google Play,So far not a big fan. Its alright but my feed is majority people I am not following nor are of any interest to me. Until I only see people I follow on my feed I wont give it any more stars. I dont care about things that dont align with my interests.,Neutral,far big fan alright fe majority people follow interest see people follow fe wont give star dont care thing dont align interest
Google Play,"Currently unusable, everytime I open threads and scroll up and down, the UIs and Texts keeps multiplying like India's population rate",Negative,currently unusable everytime open thread scroll ui text keep multiply like india population rate
App Store,"When installing the application, I hid it, but now I want it to be visible in my instagram profile that I am registered in Threads. 
Add this parameter and you will have a high score!
Thank you.",Negative,install application hid want visible instagram profile register thread add parameter high score thank
Google Play,Downloaded It --> Tried Opening the app --> App Crashed --> App uninstalled--> Good Riddance,Negative,download tri open app app crash app uninstall good riddance
Google Play,"I really love this app, but dear Devs, please help: I was in the zone with the bad internet, where I got an error saying that the feed cannot be loaded. But when I came home, the problem didn't disappear. And unfortunately, I still cannot post for some reason, see my threads and likes. I cleaned cache, reinstalled the app, checked the network access. How can I solve this?",Negative,really love app dear dev please help zone bad internet got error say fe cannot load came home problem didnt disappear unfortunately still cannot post reason see thread like clean cache reinstall app check network access solve
Google Play,Smooth onboarding and sync with Instagram. But please allow us to pick media from folder other than root gallery,Positive,smooth onboard sync instagram please allow u pick media folder root gallery
Google Play,🔥 first review,Positive,first review
Google Play,The fact that it forces me to see content I don't want gives it a one-star review immediately. I don't want to see any content from anyone other than the followers I have selected.,Negative,fact force see content dont want give onestar review immediately dont want see content anyone follower select
App Store,"Pretty cool app. A great way to connect with friends. 

I would appreciate an explore page so that our main TL isn’t saturated with accounts that we don’t follow.",Neutral,pretty cool app great way connect friend would appreciate explore page main tl isnt saturat account dont follow
Google Play,"This app is an amazing app, very interesting, but it doesn't have a future of direct message.",Positive,app amaz app interest doesnt future direct message
Google Play,It only accept left wing propaganda,Negative,accept left w propaganda
Google Play,Like Twitter it's just for large corporations to say dumb things. Doesn't seem like there are any real people on here,Negative,like twitter large corporation say dumb thing doesnt seem like real people
Google Play,Love the UI and it's really smooth,Positive,love ui really smooth
Google Play,But the fact that the president,Positive,fact president
Google Play,"Click on Twitter, Press Ctrl+C then Click on Instagram nd Press Ctrl+V..",Negative,click twitter press ctrlc click instagram nd press ctrlv
Google Play,This app is so very nice ❤️❤️,Positive,app nice
Google Play,So many crashes! On xiaomi ! From this morning! I can't even use the app! And beside all that! If it's trying to take Twitter's place ! Where the heck is explore?? Seriously?,Neutral,many crashe xiaomi morn cant even use app beside try take twitter place heck explore seriously
Google Play,Waiting for more option,Neutral,wait option
Google Play,Amazing creation,Positive,amaz creation
Google Play,"So far so good. Seems to be working out some bugs, I keep getting kick out the app whenever I try to respond to comments. My phone also provided a pop-up stating that it has bugs. So I'm hoping that works itself out bc I really do enjoy it.",Neutral,far good seem work bug keep gett kick app whenever try respond comment phone also provid popup stat bug im hop work bc really enjoy
Google Play,"I would really like to be able to use more than one account. I have 2 IG accounts, 1 business and 1 personal, but can only use one on the app on my phone by just switching like on the IG app.",Positive,would really like able use one account ig account business personal use one app phone switch like ig app
Google Play,Marathi language is not available,Negative,marathi language available
Google Play,Good application 😍,Positive,good application
Google Play,Dire. Installed and uninstalled because the flow of it isn't upto scratch. You get random posts in your feed. The data collection is very bad and intrusive,Negative,dire install uninstall flow isnt upto scratch get random post fe data collection bad intrusive
Google Play,"I installed the program and after the countdown on Instagram, I visited the program several times to run. But unfortunately it does not work yet",Neutral,install program countdown instagram visit program several time run unfortunately work yet
Google Play,Cheap copy of twitter thread,Negative,cheap copy twitter thread
Google Play,First review 😎,Positive,first review
Google Play,Good app but doesn't work properly what ever I do it comes up 'sorry can't load try again' or 'sorry we couldn't complete your request please try again in a moment' and how many times I try again it never works.,Negative,good app doesnt work properly ever come sorry cant load try sorry couldnt complete request please try moment many time try never work
Google Play,"Going on two weeks since public launch now and this app is starting to suffer from lack of very common features (which honestly should have been standard at launch). No ability to filter your feed or search posts/tags. Account follower import seems to be messy for those with a larger following. It has some good things like in line thread adding good media display. But, these are not enough to keep the app afloat on their own.",Neutral,go two week since public launch app start suffer lack common feature honestly standard launch ability filter fe search poststag account follower import seem messy larger follow good thing like line thread add good media display enough keep app afloat
Google Play,The experience is awesome but it would be great to be able to translate certain posts to our respective languages to understand just like on Instagram,Positive,experience awesome would great able translate certain post respective language understand like instagram
Google Play,Can even download the app,Negative,even download app
Google Play,Worst experience,Negative,worst experience
Google Play,So much glitch and lag... Automatically turns off and stops responding. Please fix this bug ASAP!,Negative,much glitch lag automatically turn stop respond please fix bug asap
Google Play,Congratulations ISRO Chandrayaan -3 Misstion successful,Positive,congratulation isro chandrayaan misstion successful
Google Play,"If you are concerned about privacy & data protection, avoid this app.",Negative,concern privacy data protection avoid app
Google Play,Gorgeous,Positive,gorgeou
Google Play,Worst app ever,Negative,worst app ever
Google Play,Can't upload videos with photos lately!!! Buggy!!!!,Negative,cant upload video photo lately buggy
App Store,UI is simple and pretty cool,Positive,ui simple pretty cool
Google Play,"Worst app,twitter is better with freedom of speech without cancellation",Negative,worst apptwitter better freedom speech without cancellation
Google Play,Why is the Hashtags not working 😏😏😏,Neutral,hashtag work
Google Play,"The app as a platform is great, besides the interface and stuff... but one only issue is that scrolling is low smooth plus I would like to suggest some ways to make Threads go incredibly stylish, such as the like button animation and the app's icon color matching for android 13+ However it's an excellent app that's looking to be perfect, thank you Marks crew 👌",Positive,app platform great beside interface stuff one issue scroll low smooth plu would like suggest way make thread go incredibly stylish like button animation app icon color match android however excellent app that look perfect thank mark crew
Google Play,"Excited to try out, just meh, 1 star rating for Account deletion process. DO NOT USE if you are not 100% committed or else you will have to delete your Instagram account as well",Negative,excit try meh star rat account deletion process use committ else delete instagram account well
Google Play,Mostly viral app,Neutral,mostly viral app
Google Play,I am disappointed for your threads app your app is after the download then I enter your app the app flickering and a page is like disconnected cable connection problem🤣🥴. So to solve the problem,Negative,disappoint thread app app download enter app app flicker page like disconnect cable connection problem solve problem
Google Play,"I accidentally remove the threads badge on my instagram profile and there's no way to recover it back :-( Can you please solve this problems ""hide badge"" thingy. Can you please put or add ""unhide badge"" on instagram so that I can really enjoy this app.",Negative,accidentally remove thread badge instagram profile there way recover back please solve problem hide badge thingy please put add unhide badge instagram really enjoy app
Google Play,"Definitely still enjoying this low stress and low drama experience on day 2. It has room to grow and improve, and a rollout of new features will help to retain users, but for something in its infancy, it's pretty great.",Positive,definitely still enjoy low stress low drama experience day room grow improve rollout new feature help retain user someth infancy pretty great
Google Play,It's not opening,Negative,open
Google Play,another comfy zone i guess(?),Positive,another comfy zone guess
Google Play,Connecting and redirecting to Instagram resets the Threads' profile. And then shows partial data from Instagram. Test it well team 😗🤏🏼,Neutral,connect redirect instagram reset thread profile show partial data instagram test well team
Google Play,"Very2 simple, and i love the clean look!!! I know this app need to add more features but pls pls pls pls make it simple and not messy like Facebook & Instagram? Pls hear what users want.. Instagram algorithms sucks, so far i love this one.",Positive,simple love clean look know app ne add feature pl pl pl pl make simple messy like facebook instagram pl hear user want instagram algorithm suck far love one
