source,review_description,sentiment,stemmed_text,lemma_text
Google Play,It still lacks lots of features but there's hope for the future. I appreciate the competition it brings to the table.,Neutral,still lack lot featur there hope futur appreci competit bring tabl,still lack lot feature there hope future appreciate competition brings table
Google Play,it's glitching,Negative,glitch,glitching
Google Play,Nice app with features you would expect for a first release. However it does crash to the homescreen after doing actions in the app sometimes,Neutral,nice app featur would expect first releas howev crash homescreen action app sometim,nice app feature would expect first release however crash homescreen action app sometimes
Google Play,An ugly copy of twitter.,Negative,ugli copi twitter,ugly copy twitter
Google Play,Great 👍,Positive,great,great
Google Play,Great app but add an option to create account without Instagram. I like threads but I hate using Instagram.,Negative,great app add option creat account without instagram like thread hate use instagram,great app add option create account without instagram like thread hate using instagram
Google Play,"A general flexible and nice app, missing some features but if it's one thing I know about mark Zuckerberg he always brings the updates",Positive,gener flexibl nice app miss featur one thing know mark zuckerberg alway bring updat,general flexible nice app missing feature one thing know mark zuckerberg always brings update
Google Play,Good👍. But not necessary to use,Positive,good necessari use,good necessary use
Google Play,Better than Twitter.,Positive,better twitter,better twitter
Google Play,Idk y dis app can't deactivate account permanently. Twitter and threads. Wats going on?!,Negative,idk di app cant deactiv account perman twitter thread wat go,idk dis app cant deactivate account permanently twitter thread wats going
Google Play,This is a quick suggestion! While uploading files their is no option to navigate to sub directories... You only have an option to upload via gallery as a whole... I mean only all the media from the phone is visible.. No navigation option for subdirectory is available... Please incorporate the change.,Neutral,quick suggest upload file option navig sub directori option upload via galleri whole mean media phone visibl navig option subdirectori avail pleas incorpor chang,quick suggestion uploading file option navigate sub directory option upload via gallery whole mean medium phone visible navigation option subdirectory available please incorporate change
Google Play,"Clean off the jump. As a less than average Twitter user, I can see the appeal right away here. Will update review as necessary.",Positive,clean jump less averag twitter user see appeal right away updat review necessari,clean jump less average twitter user see appeal right away update review necessary
Google Play,copy twitter +paste = threads,Negative,copi twitter past thread,copy twitter paste thread
Google Play,Giving a strong competition to Twitter. Loving this app.❤️❤️,Positive,give strong competit twitter love app,giving strong competition twitter loving app
Google Play,Why this app is not on huawei APP Gallery? I badly want this app 😔,Positive,app huawei app galleri badli want app,app huawei app gallery badly want app
Google Play,"I like that it doesn't show like count but number of replies. Social Media is about community, not popularity. Good job Instagram and Meta!",Positive,like doesnt show like count number repli social media commun popular good job instagram meta,like doesnt show like count number reply social medium community popularity good job instagram meta
Google Play,Hate it.,Negative,hate,hate
Google Play,Great,Positive,great,great
Google Play,So far its bad but its new app so we gotta wait until its better,Neutral,far bad new app gotta wait better,far bad new app gotta wait better
Google Play,Sasta Twitter 🤣,Negative,sasta twitter,sasta twitter
Google Play,Sir it's good but in my phone sir always happening crash problem sir whenever I am opening my threads app always crash happens plz 🙏 solve this problem sir as soon as possible...,Negative,sir good phone sir alway happen crash problem sir whenev open thread app alway crash happen plz solv problem sir soon possibl,sir good phone sir always happening crash problem sir whenever opening thread app always crash happens plz solve problem sir soon possible
Google Play,The app is smooth to use can't wait for more features !,Positive,app smooth use cant wait featur,app smooth use cant wait feature
Google Play,I keep crashing while typing a thread and it's really long and now gone,Negative,keep crash type thread realli long gone,keep crashing typing thread really long gone
Google Play,"In android, the screen and texts are smeared",Negative,android screen text smear,android screen text smeared
Google Play,It keeps crashing the moment I open it I go back to my home screen,Negative,keep crash moment open go back home screen,keep crashing moment open go back home screen
App Store,"Useless, wouldn’t trust Facebook/meta/threads  with my personal data if my life depended on it.",Negative,useless wouldnt trust facebookmetathread person data life depend,useless wouldnt trust facebookmetathreads personal data life depended
Google Play,Can't post any pictures. Why can some people post photos but I can't? Definitely reflecting my rating of this app!,Negative,cant post pictur peopl post photo cant definit reflect rate app,cant post picture people post photo cant definitely reflecting rating app
Google Play,The app keeps glitching and bug on my phone,Negative,app keep glitch bug phone,app keep glitching bug phone
Google Play,"I installed this thread app 2 or 3 times but still it is getting fully glitched if it was pbm of my phone thn whatsApp, insta all shld have got glitched. Didn't like this app . Sorry.. But i appreciate the hard work u ppl have put to make this application.",Negative,instal thread app time still get fulli glitch pbm phone thn whatsapp insta shld got glitch didnt like app sorri appreci hard work u ppl put make applic,installed thread app time still getting fully glitched pbm phone thn whatsapp insta shld got glitched didnt like app sorry appreciate hard work u ppl put make application
Google Play,There is a difficulty to download the app however the network is OK in my region.,Negative,difficulti download app howev network ok region,difficulty download app however network ok region
Google Play,Glitch app not working,Negative,glitch app work,glitch app working
Google Play,Stop showing me posts from accounts I don't follow,Negative,stop show post account dont follow,stop showing post account dont follow
Google Play,Story Thevaych Option Dya Jara 😅🤣🙏,Positive,stori thevaych option dya jara,story thevaych option dya jara
Google Play,Good stuff,Positive,good stuff,good stuff
Google Play,Just got in threads and I am super happy with it! Can't wait to do my next post!,Positive,got thread super happi cant wait next post,got thread super happy cant wait next post
Google Play,"Not a perfect app,",Negative,perfect app,perfect app
Google Play,"it was supposed to be a copy of twitter, but they copied it badly",Negative,suppos copi twitter copi badli,supposed copy twitter copied badly
Google Play,Great design and awesome features but sometimes app isn't working prorperly and showing insta followers on threads and somehow disappearing threads posts. Need little bit fixing.,Neutral,great design awesom featur sometim app isnt work prorperli show insta follow thread somehow disappear thread post need littl bit fix,great design awesome feature sometimes app isnt working prorperly showing insta follower thread somehow disappearing thread post need little bit fixing
Google Play,Copy cat cant even do basic functions properly,Negative,copi cat cant even basic function properli,copy cat cant even basic function properly
Google Play,Very Good App,Positive,good app,good app
Google Play,Cool,Positive,cool,cool
Google Play,Cool.,Positive,cool,cool
App Store,I will stop using Twitter immediately if Threads is on web,Neutral,stop use twitter immedi thread web,stop using twitter immediately thread web
Google Play,"I love this app, way fewer spam bots than most, great community. Needs a few more features and that's it.",Positive,love app way fewer spam bot great commun need featur that,love app way fewer spam bot great community need feature thats
Google Play,"I have Android 9, and the app goes crazy once I open it. It is rendering all the screens at once, so whenever I scroll, all of it renders at once instead of rendering just one screen. Disappointed",Negative,android app goe crazi open render screen whenev scroll render instead render one screen disappoint,android app go crazy open rendering screen whenever scroll render instead rendering one screen disappointed
Google Play,Full of glitches 😞😞😞😭,Negative,full glitch,full glitch
Google Play,Trash. Can't even select your username. Just another useless app from Meta.,Negative,trash cant even select usernam anoth useless app meta,trash cant even select username another useless app meta
Google Play,Better than Twitter,Positive,better twitter,better twitter
Google Play,My experience is that I am the 1st user to rate this app . Another experience is that the app is a rivalry motivated product with a expectation to beat Twitter... Let's ride...,Positive,experi st user rate app anoth experi app rivalri motiv product expect beat twitter let ride,experience st user rate app another experience app rivalry motivated product expectation beat twitter let ride
Google Play,It's kindaa fun to use but what is it use for mark bruhhhhhu 😂,Positive,kindaa fun use use mark bruhhhhhu,kindaa fun use use mark bruhhhhhu
Google Play,The app glitches on my phone.,Negative,app glitch phone,app glitch phone
Google Play,This good group message photo,Positive,good group messag photo,good group message photo
Google Play,"Needs more work, its ok but it keeps putting in unwanted posts",Neutral,need work ok keep put unwant post,need work ok keep putting unwanted post
Google Play,"This app is good but i hope in the next update they add something that we can put back the ""thread badge"" on our Instagram profile, i removed the badge and realized its much easier for my friends to track my thread. Plsss add it so ppl can also decide to remove or put it back huhu",Positive,app good hope next updat add someth put back thread badg instagram profil remov badg realiz much easier friend track thread plsss add ppl also decid remov put back huhu,app good hope next update add something put back thread badge instagram profile removed badge realized much easier friend track thread plsss add ppl also decide remove put back huhu
Google Play,Not worth it,Negative,worth,worth
Google Play,Threads is better than Twitter 🐦,Positive,thread better twitter,thread better twitter
Google Play,It's better than twitter,Positive,better twitter,better twitter
Google Play,Cool app,Positive,cool app,cool app
Google Play,Can't see any use of the apo.,Negative,cant see use apo,cant see use apo
Google Play,Threads wow ❤️🤩,Positive,thread wow,thread wow
Google Play,"Some sort of static content retention mechanism to show the last seen Thread before closing the app after a re-open would be perfect. New threads should show thumbnail of their publisher's pfp at the top, giving the user the control to go up or go down the feed.",Neutral,sort static content retent mechan show last seen thread close app reopen would perfect new thread show thumbnail publish pfp top give user control go go feed,sort static content retention mechanism show last seen thread closing app reopen would perfect new thread show thumbnail publisher pfp top giving user control go go feed
Google Play,Very boring app,Negative,bore app,boring app
Google Play,hello my name is akbar lovely bajire bbj thank you,Neutral,hello name akbar love bajir bbj thank,hello name akbar lovely bajire bbj thank
App Store,recently installed the Threads app. Looks good. 5 stars,Positive,recent instal thread app look good star,recently installed thread app look good star
App Store,"I've done all I know to do short of reformat my device. I know I don't have the latest hardware, but it is up to date. If I try to post or comment it crashes.",Negative,ive done know short reformat devic know dont latest hardwar date tri post comment crash,ive done know short reformat device know dont latest hardware date try post comment crash
Google Play,Twitter rip-off Enough said,Neutral,twitter ripoff enough said,twitter ripoff enough said
Google Play,I hope it will be good,Positive,hope good,hope good
Google Play,Very glitchy first experience. While scrolling all the text leaves a trail of itsself and doesnt get refreshed. So it's hard to scroll and read.,Negative,glitchi first experi scroll text leav trail itsself doesnt get refresh hard scroll read,glitchy first experience scrolling text leaf trail itsself doesnt get refreshed hard scroll read
App Store,"To be fair tho what

Vik??

Did I? 
I thought that was Harry who said that
No vik you literally said to be fair tho
Oh oh I was agreeing with Harry",Positive,fair tho vik thought harri said vik liter said fair tho oh oh agre harri,fair tho vik thought harry said vik literally said fair tho oh oh agreeing harry
Google Play,"I understand it's connected to Instagram, but being a text based app, shouldn't it have messaging features as well?",Neutral,understand connect instagram text base app shouldnt messag featur well,understand connected instagram text based app shouldnt messaging feature well
Google Play,I want to delete this stupid app without deleting my insta. Fix it.,Negative,want delet stupid app without delet insta fix,want delete stupid app without deleting insta fix
Google Play,Cool👍🏻,Positive,cool,cool
Google Play,Another Instagram worst,Negative,anoth instagram worst,another instagram worst
Google Play,The app is good its almost like twitter Just implement the trending 📈 feature and add aome new other features that twitter lack,Positive,app good almost like twitter implement trend featur add aom new featur twitter lack,app good almost like twitter implement trending feature add aome new feature twitter lack
App Store,Like this games. Threads.,Positive,like game thread,like game thread
Google Play,Instagram account holder only login thread why,Negative,instagram account holder login thread,instagram account holder login thread
Google Play,can't upload photos,Neutral,cant upload photo,cant upload photo
Google Play,Nice app threads Twitter to gya,Positive,nice app thread twitter gya,nice app thread twitter gya
Google Play,It's a good platform but you want to also add a hashtag features on it,Neutral,good platform want also add hashtag featur,good platform want also add hashtag feature
Google Play,"Power move, Zuch!",Positive,power move zuch,power move zuch
Google Play,Better app than twitter,Positive,better app twitter,better app twitter
Google Play,"I dont know how to feel, so its like a tamed version of twitter with the people you follow on insta? I dont get it",Negative,dont know feel like tame version twitter peopl follow insta dont get,dont know feel like tamed version twitter people follow insta dont get
App Store,"There is a world in which this app could elevate to simply being mediocre. However, in our world, any potential good functionality has been sacrificed in the name of the almighty algorithm and the glazed-eye dream of corporate profits. Most social media apps tried to entice you with an initially good experience. This app boldly gives you a terrible experience up front. Let’s instead hang out on Mastodon.",Negative,world app could elev simpli mediocr howev world potenti good function sacrif name almighti algorithm glazedey dream corpor profit social media app tri entic initi good experi app boldli give terribl experi front let instead hang mastodon,world app could elevate simply mediocre however world potential good functionality sacrificed name almighty algorithm glazedeye dream corporate profit social medium apps tried entice initially good experience app boldly give terrible experience front let instead hang mastodon
Google Play,"You can't compete against Twitter if you sensor and have horrible data access policies... Who are these ""independent fact checkers"" that pop up on my posts?",Negative,cant compet twitter sensor horribl data access polici independ fact checker pop post,cant compete twitter sensor horrible data access policy independent fact checker pop post
Google Play,I don't want to use both Twitter and Instagram in same app it sucks..🤣😆,Negative,dont want use twitter instagram app suck,dont want use twitter instagram app suck
Google Play,After installation texts are overlapping on each other,Negative,instal text overlap,installation text overlapping
Google Play,"I realize the app is in its infancy, but this thing is really inconvenient. I can only use the app from my phone to post. I can't use it on my laptop at all, not even taking something from my Instagram page and crossposting. Please fix this. Allow us to post from devices other than just phones. I have failing eyesight and this becomes a real problem for me because my phone screen (and anything I write using it) is so small.",Negative,realiz app infanc thing realli inconveni use app phone post cant use laptop even take someth instagram page crosspost pleas fix allow us post devic phone fail eyesight becom real problem phone screen anyth write use small,realize app infancy thing really inconvenient use app phone post cant use laptop even taking something instagram page crossposting please fix allow u post device phone failing eyesight becomes real problem phone screen anything write using small
Google Play,I dunno what happened but can you bring back my account?? like fr my threads suddenly got disabled and now even my Instagram account was disabled.. seriously I shouldn't have downloaded this app if I know what's gonna happen,Negative,dunno happen bring back account like fr thread suddenli got disabl even instagram account disabl serious shouldnt download app know what gonna happen,dunno happened bring back account like fr thread suddenly got disabled even instagram account disabled seriously shouldnt downloaded app know whats gonna happen
Google Play,"I don't use Instagram, I quit it but I wanna try threads and it's not allowing without insta account.",Negative,dont use instagram quit wanna tri thread allow without insta account,dont use instagram quit wanna try thread allowing without insta account
Google Play,A good application,Positive,good applic,good application
Google Play,"The worst app ever, no feature, just random people out of nowhere, unstable and laggy.",Negative,worst app ever featur random peopl nowher unstabl laggi,worst app ever feature random people nowhere unstable laggy
App Store,"I like being able to have this option - I'm not necessarily opposed to it. But PLEASE... for the love of everything that is good in this world - bring back old Instagram!!! I know SO MANY people who would get back on Instagram if y'all focused on POSTS again & made a SEPARATE app for reels. If you can make a separate app for these functions, please also make a separate app for the other new features you had added. This would truly be mutually beneficial.",Negative,like abl option im necessarili oppos pleas love everyth good world bring back old instagram know mani peopl would get back instagram yall focus post made separ app reel make separ app function pleas also make separ app new featur ad would truli mutual benefici,like able option im necessarily opposed please love everything good world bring back old instagram know many people would get back instagram yall focused post made separate app reel make separate app function please also make separate app new feature added would truly mutually beneficial
Google Play,"its good , with nice ui , but i wish there was an option where you could get rid of the timeline full of influencers and celebs when you refresh. its so annoying seeing posts from people i dont know and dont follow, probably the only thing stopping me from moving over to threads entirely , i hate it",Neutral,good nice ui wish option could get rid timelin full influenc celeb refresh annoy see post peopl dont know dont follow probabl thing stop move thread entir hate,good nice ui wish option could get rid timeline full influencers celebs refresh annoying seeing post people dont know dont follow probably thing stopping moving thread entirely hate
Google Play,BRO..THIS APP CRASHES A LOTT..I MEAN..AS SOON AS I OPEN THE APP..IDK WHAT HAPPENES..EBERY BUTTON OR TEXT OR IMAHE START OVERLAPPING EACH OTHER OR SOMETHING..IDK BUT THIS JS HAPPENING WITH MOST OF US..FIXX IT AS SOON AS POSSIBLE..WE CAN'T DO A SINGLE TASK WITH THIS GLITCH..I WANNA CHECK THE APP AND ITS FEATURES..BUT THIS SRUPID GLITCH IN FRONT APPERS AND DOESN'T END,Negative,brothi app crash lotti meana soon open appidk happeneseberi button text imah start overlap somethingidk js happen usfixx soon possiblew cant singl task glitchi wanna check app featuresbut srupid glitch front apper doesnt end,brothis app crash lotti meanas soon open appidk happenesebery button text imahe start overlapping somethingidk j happening usfixx soon possiblewe cant single task glitchi wanna check app featuresbut srupid glitch front appers doesnt end
Google Play,"For first experience, the app is good. Maybe later could you please add inbox/DM feature, and section for media (pics n vids) in profile section together with thread and reply. Please add section for media so we wont need to scroll so much for pics we upload. Thanks",Positive,first experi app good mayb later could pleas add inboxdm featur section media pic n vid profil section togeth thread repli pleas add section media wont need scroll much pic upload thank,first experience app good maybe later could please add inboxdm feature section medium pic n vids profile section together thread reply please add section medium wont need scroll much pic upload thanks
Google Play,Nthing special,Neutral,nthing special,nthing special
Google Play,Why on God's green earth you need my medical info access? I can't believe it!,Negative,god green earth need medic info access cant believ,god green earth need medical info access cant believe
Google Play,Good copy of Twitter but not better than Twitter 😅,Neutral,good copi twitter better twitter,good copy twitter better twitter
Google Play,Trash,Negative,trash,trash
Google Play,"Yes, it's a new app. But Meta is not exactly an indie developer! There is literally no reason to be flooding us with Rando Accounts. That should have been basic functionality from Day 1. But like Instagram, seems Threads just wants to push random posts on us whether we like it or not. Until basic functions are in, I'll be sticking with Twitter.",Negative,ye new app meta exactli indi develop liter reason flood us rando account basic function day like instagram seem thread want push random post us whether like basic function ill stick twitter,yes new app meta exactly indie developer literally reason flooding u rando account basic functionality day like instagram seems thread want push random post u whether like basic function ill sticking twitter
Google Play,Useless pale copy of Twitter without soul and no fun and tremendous use of data. Pointless.,Negative,useless pale copi twitter without soul fun tremend use data pointless,useless pale copy twitter without soul fun tremendous use data pointless
Google Play,Needs chronological timeline of follows,Negative,need chronolog timelin follow,need chronological timeline follows
Google Play,Bad experience at all,Negative,bad experi,bad experience
App Store,"App that was definitely just dropped because people were fussing about twitter again and don’t get me wrong because I’d love to see new competition so twitter will step up and stop making dumb decisions, but as of now, why would I have any reason to use threads? Profiles are boring and messy, no customization besides changing your icon and putting a link, no pinned posts or some sort of media tab, no way to browse people you ACTUALLY follow, and what was the point of flexing no ads if the following feed is brand after brand after brand anyways?   There’s also no dms. 
Uninstalled after muting over a hundreds accounts, random celebrities and tiktok stars and brands I’ve never even heard of just keep appearing. Not worth your time, just keep using instagram because really, what’s the point of this app with how empty it is? Maybe in the future they will add dms and options to pin posts or have a media tab, but I legitimately can’t believe people were hyping up what’s half of a finished app",Negative,app definit drop peopl fuss twitter dont get wrong id love see new competit twitter step stop make dumb decis would reason use thread profil bore messi custom besid chang icon put link pin post sort media tab way brows peopl actual follow point flex ad follow feed brand brand brand anyway there also dm uninstal mute hundr account random celebr tiktok star brand ive never even heard keep appear worth time keep use instagram realli what point app empti mayb futur add dm option pin post media tab legitim cant believ peopl hype what half finish app,app definitely dropped people fussing twitter dont get wrong id love see new competition twitter step stop making dumb decision would reason use thread profile boring messy customization besides changing icon putting link pinned post sort medium tab way browse people actually follow point flexing ad following feed brand brand brand anyways there also dm uninstalled muting hundred account random celebrity tiktok star brand ive never even heard keep appearing worth time keep using instagram really whats point app empty maybe future add dm option pin post medium tab legitimately cant believe people hyping whats half finished app
Google Play,It's is good,Positive,good,good
Google Play,"Competion is good, an alternative to Twitter was long due.",Positive,compet good altern twitter long due,competion good alternative twitter long due
Google Play,"Too much data collection and can't trust meta with my data, history has proven that meta is selling data or it get leaked very easy",Negative,much data collect cant trust meta data histori proven meta sell data get leak easi,much data collection cant trust meta data history proven meta selling data get leaked easy
Google Play,"can I see the photos and videos designed alone, can we go live video, please",Neutral,see photo video design alon go live video pleas,see photo video designed alone go live video please
Google Play,"Pretty good app apparently it's like classic Twitter. It could use a few tweaks and adjustments especially the ability to edit your thread and better audio support for videos as well as gif insertion, also a timeline just for the people you follow would be great too, but otherwise it's solid.",Neutral,pretti good app appar like classic twitter could use tweak adjust especi abil edit thread better audio support video well gif insert also timelin peopl follow would great otherwis solid,pretty good app apparently like classic twitter could use tweak adjustment especially ability edit thread better audio support video well gif insertion also timeline people follow would great otherwise solid
Google Play,"I try to upload a picture or video, then the app crashes... Hopefully it gets fixed. Good app anyways, great alternative to Twitter for real.",Neutral,tri upload pictur video app crash hope get fix good app anyway great altern twitter real,try upload picture video app crash hopefully get fixed good app anyways great alternative twitter real
Google Play,"Hey ,please don't make same color and options like Instagram make it different and use some color with the opening logo. I like the sign up option with Instagram but again I tell you please don't mix insta and thread together",Neutral,hey pleas dont make color option like instagram make differ use color open logo like sign option instagram tell pleas dont mix insta thread togeth,hey please dont make color option like instagram make different use color opening logo like sign option instagram tell please dont mix insta thread together
Google Play,Copy,Negative,copi,copy
Google Play,Terrible and boring app!!!,Negative,terribl bore app,terrible boring app
Google Play,Nice as comptiter of Twitter,Positive,nice comptit twitter,nice comptiter twitter
Google Play,need more features,Positive,need featur,need feature
Google Play,Good app,Positive,good app,good app
Google Play,Very very buggy! If I try to scroll all the info on screen drags and overlays on top of each other. It's unusable,Negative,buggi tri scroll info screen drag overlay top unus,buggy try scroll info screen drag overlay top unusable
Google Play,How upload profile picture 📸,Negative,upload profil pictur,upload profile picture
Google Play,TWITTER S BEST HAI 😅,Positive,twitter best hai,twitter best hai
Google Play,Very Good app 👍🏻,Positive,good app,good app
Google Play,"This disgustingly look exactly like Twitter, create your own thing. It's stealing 🚫",Negative,disgustingli look exactli like twitter creat thing steal,disgustingly look exactly like twitter create thing stealing
Google Play,Just a cheap knockoff of twitter no special features nothing different to stand out,Negative,cheap knockoff twitter special featur noth differ stand,cheap knockoff twitter special feature nothing different stand
App Store,"as the tittle says, pretty decent & has potential! but personally, as i’m sure others would agree too (i also know you’re still developing/tweaking) but i would love my home feed/timeline to consist of ONLY the people i follow. i’d like a separate explore tab with all the random ppl (the home page you currently have) would be nice! i would love to pick & choose when i get to see random people i don’t follow because my home page just feels like spam/junk mail with zero access to content i actually care about.  also, would love to see a, who i’m following tab as well. thanks!",Neutral,tittl say pretti decent potenti person im sure other would agre also know your still developingtweak would love home feedtimelin consist peopl follow id like separ explor tab random ppl home page current would nice would love pick choos get see random peopl dont follow home page feel like spamjunk mail zero access content actual care also would love see im follow tab well thank,tittle say pretty decent potential personally im sure others would agree also know youre still developingtweaking would love home feedtimeline consist people follow id like separate explore tab random ppl home page currently would nice would love pick choose get see random people dont follow home page feel like spamjunk mail zero access content actually care also would love see im following tab well thanks
Google Play,2rd copy of Twitter Zuck keyboard = copy & paste 😤😤😤,Negative,rd copi twitter zuck keyboard copi past,rd copy twitter zuck keyboard copy paste
Google Play,"Please be my pin, because I'm the thread that you need 😜😮‍💨",Positive,pleas pin im thread need,please pin im thread need
Google Play,"If you will login once in threads, you can't delete your threads profile ever. If you want to delete your threads profile, your Instagram profile will also delete. You can only deactivate the threads account. So think before download.",Negative,login thread cant delet thread profil ever want delet thread profil instagram profil also delet deactiv thread account think download,login thread cant delete thread profile ever want delete thread profile instagram profile also delete deactivate thread account think download
Google Play,Good app!,Neutral,good app,good app
App Store,"it’s basically a way to connect with people who are interested in what you are interested in aswell, nice app zuckerberg 📝",Positive,basic way connect peopl interest interest aswel nice app zuckerberg,basically way connect people interested interested aswell nice app zuckerberg
App Store,"I can't log in into this application and i don't know why! 
I'll be thankful that someone helps me :)
I've tried many times but i just recived erros but nothing..",Negative,cant log applic dont know ill thank someon help ive tri mani time reciv erro noth,cant log application dont know ill thankful someone help ive tried many time recived erros nothing
Google Play,Because My video viws not coming,Negative,video viw come,video viws coming
Google Play,"Fixed the comment pane, tks 👍👍👍",Positive,fix comment pane tk,fixed comment pane tks
Google Play,Good aap. It's good to see that they are providing a threads version.,Neutral,good aap good see provid thread version,good aap good see providing thread version
Google Play,Nice job with you guys and gold for you guys,Positive,nice job guy gold guy,nice job guy gold guy
Google Play,The rest of the age will come to know experiment when it is necessary to be more and different even if all looked same yes (feature) could have been introduced in some new form. But he was not kept equal to his rival. It is expected that more good things will be seen in the future.,Neutral,rest age come know experi necessari differ even look ye featur could introduc new form kept equal rival expect good thing seen futur,rest age come know experiment necessary different even looked yes feature could introduced new form kept equal rival expected good thing seen future
Google Play,If insta and Twitter had a child,Positive,insta twitter child,insta twitter child
Google Play,As is it's impossible to use. I do not have an Instagram account. I cannot use the app without creating an Instagram account. You cannot create an Instagram account from within the app. Ergo the app is impossible to use without already having an Instagram account or going to Instagram to create an account outside of the app. 0/10,Negative,imposs use instagram account cannot use app without creat instagram account cannot creat instagram account within app ergo app imposs use without alreadi instagram account go instagram creat account outsid app,impossible use instagram account cannot use app without creating instagram account cannot create instagram account within app ergo app impossible use without already instagram account going instagram create account outside app
Google Play,Very nice this app💜,Positive,nice app,nice app
Google Play,Why its connected with Instagram.. i installed it and open account from insta. Now this thread badge is shown up in insta's bio. I Removed it many times from there..but its again shown on page refresh. Please do this app independently from insta...or i uninstall both the app..🙂,Negative,connect instagram instal open account insta thread badg shown insta bio remov mani time therebut shown page refresh pleas app independ instaor uninstal app,connected instagram installed open account insta thread badge shown instas bio removed many time therebut shown page refresh please app independently instaor uninstall app
Google Play,Nice this twit app,Positive,nice twit app,nice twit app
Google Play,Theif,Negative,theif,theif
Google Play,Wow 😮 very good,Positive,wow good,wow good
Google Play,Nice app..... Add DMs to it and allow me to pin a post ☺️,Positive,nice app add dm allow pin post,nice app add dm allow pin post
Google Play,Musk ko compitition 👍👍✌️,Positive,musk ko compitit,musk ko compitition
Google Play,It's fun ...but need translate tweet option as soon as possible,Positive,fun need translat tweet option soon possibl,fun need translate tweet option soon possible
Google Play,Good Application,Positive,good applic,good application
Google Play,Exceptional extraordinary meta experience index over the hurtle and brightening my life.,Positive,except extraordinari meta experi index hurtl brighten life,exceptional extraordinary meta experience index hurtle brightening life
Google Play,"constantly bugs out, unusable for now",Negative,constantli bug unus,constantly bug unusable
Google Play,She blocked on redmi note 8,Negative,block redmi note,blocked redmi note
Google Play,Aap is so interesting. But it is not good,Negative,aap interest good,aap interesting good
Google Play,"It's nice App, but you need to bring direct message feature please.",Positive,nice app need bring direct messag featur pleas,nice app need bring direct message feature please
Google Play,Breath of fresh Air! I never knew just HOW toxic the other app had gotten until I switched to Threads. It's only been a week and everyday it gets better and better.,Positive,breath fresh air never knew toxic app gotten switch thread week everyday get better better,breath fresh air never knew toxic app gotten switched thread week everyday get better better
Google Play,"Why am I facing glitching issues every time I open the app, i tried uninstalling the app and then reinstalling,then also it didn't work, all i could see was an entire screen full of glitches",Negative,face glitch issu everi time open app tri uninstal app reinstallingthen also didnt work could see entir screen full glitch,facing glitching issue every time open app tried uninstalling app reinstallingthen also didnt work could see entire screen full glitch
Google Play,Not bad initiative.,Neutral,bad initi,bad initiative
Google Play,"The application keeps glitching since i open it, once i touch the screen it glitchs, can't use it at all",Negative,applic keep glitch sinc open touch screen glitch cant use,application keep glitching since open touch screen glitch cant use
Google Play,Great application,Positive,great applic,great application
Google Play,I think it's good to compete with Twitter. They are creating monopoly.,Positive,think good compet twitter creat monopoli,think good compete twitter creating monopoly
Google Play,The app crashes often hope you fix it soon,Neutral,app crash often hope fix soon,app crash often hope fix soon
App Store,Much to be desired as of now.,Neutral,much desir,much desired
App Store,Watch Sound of Freedom! A true story movie about human/child trafficking in certain theaters now or soon to be on Twitter thanks to Elon. The movie was made 5 years ago and they’ve tried to put it on all streaming platforms and got denied by all of them. Multiple roadblocks in their way but the truth always comes out. Gods children are not for sale.,Negative,watch sound freedom true stori movi humanchild traffick certain theater soon twitter thank elon movi made year ago theyv tri put stream platform got deni multipl roadblock way truth alway come god children sale,watch sound freedom true story movie humanchild trafficking certain theater soon twitter thanks elon movie made year ago theyve tried put streaming platform got denied multiple roadblock way truth always come god child sale
Google Play,Wish I didn't have to have an Instagram account to use this. It is what it is I guess...,Negative,wish didnt instagram account use guess,wish didnt instagram account use guess
App Store,"App is terrible. A rip off of Twitter and Zuck just wants to be Elon so bad. These clowns in these reviews saying Twitter is dead are just full of it and just be bots. Enjoy your one sided views on everything, with no opinions from the other side to promote discussion and critical thinking. Uninstalling immediately.",Negative,app terribl rip twitter zuck want elon bad clown review say twitter dead full bot enjoy one side view everyth opinion side promot discuss critic think uninstal immedi,app terrible rip twitter zuck want elon bad clown review saying twitter dead full bot enjoy one sided view everything opinion side promote discussion critical thinking uninstalling immediately
Google Play,The only reason I'm giving it a three star is because when you follow people they don't show up on your feed it's a bunch of random users other than that the app itself is pretty cool,Neutral,reason im give three star follow peopl dont show feed bunch random user app pretti cool,reason im giving three star follow people dont show feed bunch random user app pretty cool
Google Play,I cannot download this app as the button which is for the word download does not appear .,Positive,cannot download app button word download appear,cannot download app button word download appear
App Store,"No chronological feed, no control over what posts you see in your feed. Following people is basically useless. Don’t download this or you will have to delete your Instagram to delete threads.",Negative,chronolog feed control post see feed follow peopl basic useless dont download delet instagram delet thread,chronological feed control post see feed following people basically useless dont download delete instagram delete thread
Google Play,It can be something good in the future.,Neutral,someth good futur,something good future
App Store,"So I had enough time to use this app and it’s going places 

All I wish for is:
The ability to have multiple accounts like instagram 
More settings 
Stories should be on threads also 
Direct messaging (end to end encrypted)
And others but overall it’s a very great app",Positive,enough time use app go place wish abil multipl account like instagram set stori thread also direct messag end end encrypt other overal great app,enough time use app going place wish ability multiple account like instagram setting story thread also direct messaging end end encrypted others overall great app
Google Play,hello spyware,Negative,hello spywar,hello spyware
